Year,Month,Yield,TMN,TMX,PREC
2007,9,40.3,25.9,32.8,22
2007,10,93.4,25.7,31.8,22
2007,11,120.6,25.2,31.2,20.7
2007,12,265.3,25.8,32.4,21.8
2008,1,91,26.2,30.7,23.2
2008,2,95.3,25.8,29.1,22.1
2008,3,158.6,26,31.6,22.2
2008,4,250.5,26.2,30.5,21.9
2008,5,10.5,26.1,29.5,22.2
2008,6,89.3,26.1,31.3,22.2
2008,7,63.7,25.3,28.8,20.7
2008,8,71.6,25.4,28.8,22.3
2008,9,40.6,25.3,28.6,20.3
2008,10,95,25.5,30,20.9
2008,11,184.8,25,31.1,20.9
2008,12,198.5,25.1,31.8,21.9
2009,1,16.2,25.8,29,22.6
2009,2,60.4,25.8,31.4,21.3
2009,3,144.7,25.9,30.1,21.2
2009,4,294,26.1,33,23.1
2009,5,97.1,25.9,29.2,21.8
2009,6,71.1,25.8,30.8,21.5
2009,7,9.3,26.7,32.1,21.9
2009,8,89.6,25.2,29.3,20.3
2009,9,49.1,26.6,30.7,23.2
2009,10,12.4,25,29.4,20.8
2009,11,236.9,25.5,29.7,20.9
2009,12,264.5,26.2,29.8,21.4
2010,1,9.3,25.2,31.9,20.4
2010,2,82,26.8,29.9,23.1
2010,3,267.7,25.1,32,20.5
2010,4,154.7,26.6,31.5,22.8
2010,5,85.7,25.8,31.9,20.9
2010,6,17.3,25.8,29.8,21.9
2010,7,63.7,25.7,29.6,21.4
2010,8,68.8,25.8,30.3,22.6
2010,9,57.4,26.3,31.4,21.6
2010,10,43.3,25.5,30.7,20.7
2010,11,127.3,25.7,31.5,22.2
2010,12,218,25.9,29,22.2
2011,1,53.8,25.2,31.9,21.5
2011,2,64.1,24.9,31,21.1
2011,3,198.5,25.1,30,20.2
2011,4,148,25.9,30.2,21.6
2011,5,90.2,26,29.7,22.3
2011,6,21.4,25.3,30.2,20.9
2011,7,16.5,25.4,29.1,22.2
2011,8,39.6,25.2,30,21.8
2011,9,64.7,26.5,29.6,21.9
2011,10,92.5,25.4,28.8,20.7
2011,11,136.9,25.3,31.5,20.8
2011,12,196.9,25.1,29,21.4
2012,1,8.5,25.1,29.9,20.6
2012,2,90,26.6,30.6,22.2
2012,3,206.5,27.5,31,23.6
2012,4,175.5,26.5,30.4,22.9
2012,5,61.4,25.5,29,20.7
2012,6,52.4,25.2,30.9,20.6
2012,7,46,25.7,31.1,21.2
2012,8,39.5,25.2,28.7,21.6
2012,9,62.5,26,30.4,21
2012,10,19.5,26.4,30.3,23.2
2012,11,134.7,25,28.8,21.4
2012,12,204.9,25,31.6,21.8
2013,1,97.1,26,29.4,22.2
2013,2,29.5,25.9,32.4,21.3
2013,3,214.3,26.3,33,22.1
2013,4,137.4,25.4,29.5,20.9
2013,5,15.9,25.5,30.5,22
2013,6,60.2,24.8,30.3,21.3
2013,7,37,25.6,30.8,22.5
2013,8,99,25,28.5,21.9
2013,9,77.2,26,30,21.6
2013,10,44.1,25.1,30.5,21.2
2013,11,124.9,25.6,31.9,20.7
2013,12,136.2,25.1,31.1,20.3
2014,1,18.3,25.9,31.2,21.2
2014,2,20.5,25.8,32,22.4
2014,3,171.8,26.2,31.9,22.2
2014,4,263.3,25.7,32.2,21.9
2014,5,76,24.8,29.7,21.2
2014,6,90.5,25.2,30.3,21.8
2014,7,16.1,26.1,32.7,21.8
2014,8,36.8,24.5,31.2,20.2
2014,9,89.9,25.7,31.1,21.6
2014,10,34.6,25.2,31.4,21.9
2014,11,252.5,25.7,28.9,21.6
2014,12,264.3,24.8,31.3,21.1
2015,1,26.8,25.7,31.9,22.4
2015,2,65.9,25.4,31.3,21
2015,3,136.3,26.2,30.2,22.5
2015,4,180.2,26.9,33.5,22.7
2015,5,53.1,26.2,29.8,22
2015,6,87.9,25.7,31.2,22.7
2015,7,72.2,25.7,31.5,20.9
2015,8,62.6,25.9,29.6,21.8
2015,9,47.8,26.3,33,21.4
2015,10,84.7,25.2,28.6,20.2
2015,11,111,25.4,30.7,21.6
2015,12,100.9,25.8,30.1,21.2
2016,1,37.9,25.3,30.5,20.5
2016,2,48,25.1,29.5,20.6
2016,3,199.7,25.9,29.4,22.5
2016,4,172.5,25.2,29.8,20.3
2016,5,21.9,26.8,29.8,22.4
2016,6,44.4,26.3,33.2,23
2016,7,24.9,27,30.2,22.5
2016,8,23.1,25.6,32.2,22.2
2016,9,78.7,25.5,30.7,22.4
2016,10,46.9,25.1,30,21.1
2016,11,272.4,26,29.6,22.6
2016,12,154.1,24.2,31,20.5
2017,1,73,25.3,28.4,22
2017,2,26.1,26.8,32.4,23.7
2017,3,260,26.4,29.4,23.2
2017,4,147.6,25.4,29.1,21
2017,5,83.9,25.7,31.6,21
2017,6,24.5,25.6,30.2,21.2
2017,7,24.7,26,29,22.8
2017,8,60.4,25.4,28.5,22.1
2017,9,29.6,26,32.2,22.3
2017,10,30.5,25.3,29.8,21.1
2017,11,158.9,24.7,29.9,20.8
2017,12,128,26.1,32.9,21.6
2018,1,45.4,25.8,32.4,21.2
2018,2,56.5,26.5,29.6,22.9
2018,3,296.9,25.3,28.9,20.7
2018,4,154.5,26.3,31.4,22.9
2018,5,66.9,25.9,30,21.8
2018,6,6,25.3,31.6,21.8
2018,7,21.7,25.8,31.2,21.5
2018,8,41.4,26.1,32.7,22.2
2018,9,12.9,25.2,28.9,20.7
2018,10,42,25.4,30.8,21.9
2018,11,213.3,24.9,30.7,21.3
2018,12,287.4,24.6,29.5,20.2
2019,1,61.5,25.4,28.5,21.9
2019,2,61.7,26.3,29.5,22.3
2019,3,245.6,26.6,30,23.4
2019,4,187,25.6,30.5,21.2
2019,5,30.9,26.2,32.4,21.8
2019,6,13.7,25.5,30.8,21.7
2019,7,87.9,25.6,29.4,21.5
2019,8,67.6,25.9,31.8,21.3
2019,9,26,25.9,29.9,21.9
2019,10,8.7,25.6,32.6,20.8
2019,11,283.1,25.5,29.3,21.4
2019,12,159.5,25.4,28.5,21
2020,1,35.3,25.8,32.3,21.1
2020,2,61.6,26.3,32.6,23.2
2020,3,168,25.8,29.1,21.4
2020,4,163.1,25.8,31.7,22.6
2020,5,89.2,26.6,30.8,22.3
2020,6,7.3,25.8,31.3,22.4
2020,7,99.8,25.7,32.5,21.1
2020,8,43.2,26.1,30.5,21.6
2020,9,78,26.6,33.1,21.7
2020,10,75.1,25.2,29.9,21.4
2020,11,159.3,25.1,29.5,21.5
2020,12,103.6,25.1,29,22
